ID,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
770,2016,New York,Percent of adults aged 18 years and older who have obesity,24.4,25622.0,,,,,,Non-Hispanic White
771,2011,Virginia,Percent of adults aged 18 years and older who have obesity,33.6,929.0,,,,,"$15,000 - $24,999",
773,2016,Wyoming,Percent of adults aged 18 years and older who have obesity,25.0,418.0,,,,,"$25,000 - $34,999",
774,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,31.0,1658.0,,65 or older,,,,
775,2013,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.0,3030.0,,55 - 64,,,,
778,2016,Florida,Percent of adults aged 18 years and older who have obesity,31.3,6150.0,,,,,"$15,000 - $24,999",
782,2016,Delaware,Percent of adults aged 18 years and older who have obesity,34.7,484.0,,,,,"$35,000 - $49,999",
790,2011,Indiana,Percent of adults aged 18 years and older who have obesity,30.3,1106.0,,,,,"$35,000 - $49,999",
795,2016,National,Percent of adults aged 18 years and older who have obesity,28.0,157668.0,,65 or older,,,,
796,2016,Wyoming,Percent of adults aged 18 years and older who have obesity,30.1,1062.0,,55 - 64,,,,
798,2016,Alabama,Percent of adults aged 18 years and older who have obesity,36.2,2711.0,,,,Male,,
799,2016,Kentucky,Percent of adults aged 18 years and older who have obesity,30.2,2150.0,,,,,"$75,000 or greater",
801,2012,West Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
802,2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,35.4,542.0,,,,,"Less than $15,000",
808,2016,Tennessee,Percent of adults aged 18 years and older who have obesity,32.5,4584.0,,,,,,Non-Hispanic White
809,2016,Louisiana,Percent of adults aged 18 years and older who have obesity,38.2,1610.0,,,High school graduate,,,
813,2014,Idaho,Percent of adults aged 18 years and older who have obesity,33.1,766.0,,45 - 54,,,,
816,2013,Washington,Percent of adults aged 18 years and older who have obesity,27.0,3604.0,,65 or older,,,,
817,2016,Nebraska,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
819,2016,Colorado,Percent of adults aged 18 years and older who have obesity,9.4,199.0,,,,,,Asian
820,2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,35.0,89.0,,,,,,2 or more races
825,2016,South Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
826,2016,Oregon,Percent of adults aged 18 years and older who have obesity,30.9,980.0,,55 - 64,,,,
831,2016,Washington,Percent of adults aged 18 years and older who have obesity,33.2,1121.0,,,,,"$25,000 - $34,999",
832,2016,Louisiana,Percent of adults aged 18 years and older who have obesity,33.5,1080.0,,,,,"$75,000 or greater",
833,2016,Iowa,Percent of adults aged 18 years and older who have obesity,36.3,964.0,,45 - 54,,,,
834,2016,Vermont,Percent of adults aged 18 years and older who have obesity,19.5,2611.0,,,College graduate,,,
836,2016,Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
840,2016,Florida,Percent of adults aged 18 years and older who have obesity,27.9,123.0,,,,,,Other
845,2016,Florida,Percent of adults aged 18 years and older who have obesity,27.2,3683.0,,,,,,Hispanic
861,2016,New York,Percent of adults aged 18 years and older who have obesity,25.9,14316.0,,,,Male,,
863,2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,20.1,2071.0,,,College graduate,,,
864,2016,California,Percent of adults aged 18 years and older who have obesity,36.0,1256.0,,,Less than high school,,,
865,2016,Washington,Percent of adults aged 18 years and older who have obesity,29.1,10788.0,,,,,,Non-Hispanic White
871,2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,26.6,2732.0,,,,Male,,
873,2016,New Mexico,Percent of adults aged 18 years and older who have obesity,28.3,5531.0,Total,,,,,
874,2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,32.5,448.0,,,Less than high school,,,
877,2016,Utah,Percent of adults aged 18 years and older who have obesity,32.9,133.0,,,,,,American Indian/Alaska Native
878,2014,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.3,123.0,,,,,,Other
884,2016,Wyoming,Percent of adults aged 18 years and older who have obesity,25.6,501.0,,,,,Data not reported,
885,2016,Michigan,Percent of adults aged 18 years and older who have obesity,34.9,256.0,,,,,,2 or more races
888,2016,Arizona,Percent of adults aged 18 years and older who have obesity,22.2,4024.0,,,College graduate,,,
895,2016,Texas,Percent of adults aged 18 years and older who have obesity,31.1,1293.0,,,,,Data not reported,
896,2016,Maryland,Percent of adults aged 18 years and older who have obesity,28.3,7189.0,,,,Male,,
897,2016,Alaska,Percent of adults aged 18 years and older who have obesity,43.1,433.0,,,,,,American Indian/Alaska Native
902,2016,Missouri,Percent of adults aged 18 years and older who have obesity,27.2,526.0,,25 - 34,,,,
903,2011,South Carolina,Percent of adults aged 18 years and older who have obesity,16.3,603.0,,18 - 24,,,,
904,2016,New Mexico,Percent of adults aged 18 years and older who have obesity,17.6,238.0,,18 - 24,,,,
905,2016,Arkansas,Percent of adults aged 18 years and older who have obesity,28.7,75.0,,,,,,American Indian/Alaska Native
906,2016,Missouri,Percent of adults aged 18 years and older who have obesity,30.8,5494.0,,,,,,Non-Hispanic White
907,2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,22.9,274.0,,18 - 24,,,,
908,2013,Kansas,Percent of adults aged 18 years and older who have obesity,31.4,6706.0,,,Some college or technical school,,,
911,2016,Indiana,Percent of adults aged 18 years and older who have obesity,26.8,330.0,,,,,,Hispanic
912,2016,Kansas,Percent of adults aged 18 years and older who have obesity,33.2,1095.0,,,,,"$25,000 - $34,999",
923,2016,West Virginia,Percent of adults aged 18 years and older who have obesity,40.7,2424.0,,,High school graduate,,,
932,2016,South Dakota,Percent of adults aged 18 years and older who have obesity,29.3,99.0,,,,,,2 or more races
934,2016,South Carolina,Percent of adults aged 18 years and older who have obesity,34.4,2289.0,,55 - 64,,,,
938,2016,West Virginia,Percent of adults aged 18 years and older who have obesity,37.9,3040.0,,,,Male,,
946,2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,29.9,1385.0,,,,,"$75,000 or greater",
954,2016,Indiana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
966,2016,West Virginia,Percent of adults aged 18 years and older who have obesity,45.1,90.0,,,,,,2 or more races
970,2011,Maryland,Percent of adults aged 18 years and older who have obesity,31.0,1088.0,,,,,"$15,000 - $24,999",
972,2016,South Carolina,Percent of adults aged 18 years and older who have obesity,33.4,1306.0,,,,,"$35,000 - $49,999",
973,2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,26.6,5888.0,Total,,,,,
978,2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,33.3,2710.0,,,,Male,,
979,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,41.9,964.0,,,,,"$15,000 - $24,999",
983,2016,Kansas,Percent of adults aged 18 years and older who have obesity,30.5,9541.0,,,,,,Non-Hispanic White
984,2016,Florida,Percent of adults aged 18 years and older who have obesity,26.6,18545.0,,,,Female,,
987,2016,Maine,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
988,2016,Louisiana,Percent of adults aged 18 years and older who have obesity,36.6,474.0,,,,,"$25,000 - $34,999",
989,2016,New Jersey,Percent of adults aged 18 years and older who have obesity,29.2,1814.0,,,High school graduate,,,
1000,2016,Hawaii,Percent of adults aged 18 years and older who have obesity,28.4,59.0,,,,,,Non-Hispanic Black
1005,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,35.2,1904.0,,,,Male,,
1010,2016,Vermont,Percent of adults aged 18 years and older who have obesity,27.9,2811.0,,,,Male,,
1017,2016,Guam,Percent of adults aged 18 years and older who have obesity,32.8,257.0,,35 - 44,,,,
1027,2016,South Carolina,Percent of adults aged 18 years and older who have obesity,31.1,214.0,,,,,,2 or more races
1030,2016,South Carolina,Percent of adults aged 18 years and older who have obesity,32.3,10503.0,Total,,,,,
1035,2014,District of Columbia,Percent of adults aged 18 years and older who have obesity,10.3,112.0,,18 - 24,,,,
1036,2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,15.9,525.0,,18 - 24,,,,
1038,2016,Alabama,Percent of adults aged 18 years and older who have obesity,29.8,76.0,,,,,,Hispanic
1042,2012,Washington,Percent of adults aged 18 years and older who have obesity,30.1,1686.0,,,,,"$15,000 - $24,999",
1043,2016,Minnesota,Percent of adults aged 18 years and older who have obesity,11.5,300.0,,,,,,Asian
1044,2016,South Dakota,Percent of adults aged 18 years and older who have obesity,21.4,802.0,,,,,Data not reported,
1047,2016,Texas,Percent of adults aged 18 years and older who have obesity,24.6,4102.0,,,College graduate,,,
1048,2016,North Carolina,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
1052,2016,Tennessee,Percent of adults aged 18 years and older who have obesity,31.8,1164.0,,,,,"$75,000 or greater",
1054,2016,Vermont,Percent of adults aged 18 years and older who have obesity,27.4,77.0,,,,,,Hispanic
1057,2016,Oregon,Percent of adults aged 18 years and older who have obesity,32.0,439.0,,,,,"$25,000 - $34,999",
1059,2016,Louisiana,Percent of adults aged 18 years and older who have obesity,36.6,1112.0,,55 - 64,,,,
1063,2016,Texas,Percent of adults aged 18 years and older who have obesity,35.4,2768.0,,,Some college or technical school,,,
1064,2016,New Jersey,Percent of adults aged 18 years and older who have obesity,25.5,4593.0,,,,,,Non-Hispanic White
1069,2012,West Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
1072,2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,11.6,163.0,,18 - 24,,,,
1078,2016,Indiana,Percent of adults aged 18 years and older who have obesity,34.1,2579.0,,,Some college or technical school,,,
1080,2016,Wyoming,Percent of adults aged 18 years and older who have obesity,37.0,433.0,,35 - 44,,,,
1083,2016,North Carolina,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
1085,2016,Colorado,Percent of adults aged 18 years and older who have obesity,26.9,2191.0,,45 - 54,,,,
1090,2016,National,Percent of adults aged 18 years and older who have obesity,32.0,54639.0,,,,,"$35,000 - $49,999",
1094,2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,41.4,217.0,,45 - 54,,,,
1095,2016,Kentucky,Percent of adults aged 18 years and older who have obesity,34.3,2718.0,,,Some college or technical school,,,
1096,2016,Washington,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
1097,2011,Rhode Island,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
1098,2016,Guam,Percent of adults aged 18 years and older who have obesity,31.9,128.0,,,Less than high school,,,
1101,2013,Ohio,Percent of adults aged 18 years and older who have obesity,32.5,175.0,,,,,,Hispanic
1102,2016,Kansas,Percent of adults aged 18 years and older who have obesity,36.0,1224.0,,35 - 44,,,,
1103,2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,32.2,3739.0,,,,Female,,
1104,2016,North Dakota,Percent of adults aged 18 years and older who have obesity,32.2,2541.0,,,,Male,,
1106,2016,Montana,Percent of adults aged 18 years and older who have obesity,25.5,5483.0,Total,,,,,
1110,2015,Iowa,Percent of adults aged 18 years and older who have obesity,29.3,3025.0,,,,Female,,
1118,2016,North Carolina,Percent of adults aged 18 years and older who have obesity,38.1,642.0,,,Less than high school,,,
1122,2016,West Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hispanic
1123,2016,Guam,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
1127,2016,Washington,Percent of adults aged 18 years and older who have obesity,31.4,2775.0,,55 - 64,,,,
1140,2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,14.8,1258.0,,,,,"$75,000 or greater",
1142,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,45.5,759.0,,45 - 54,,,,
1146,2016,Vermont,Percent of adults aged 18 years and older who have obesity,24.5,516.0,,25 - 34,,,,
1147,2016,Louisiana,Percent of adults aged 18 years and older who have obesity,42.7,842.0,,,,,"$15,000 - $24,999",
1148,2016,Oregon,Percent of adults aged 18 years and older who have obesity,25.7,600.0,,25 - 34,,,,
1155,2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.9,780.0,,35 - 44,,,,
1158,2016,Tennessee,Percent of adults aged 18 years and older who have obesity,46.6,675.0,,,,,,Non-Hispanic Black
1168,2016,Kentucky,Percent of adults aged 18 years and older who have obesity,20.3,639.0,,18 - 24,,,,
1171,2016,Missouri,Percent of adults aged 18 years and older who have obesity,17.7,367.0,,18 - 24,,,,
1173,2016,Montana,Percent of adults aged 18 years and older who have obesity,27.8,114.0,,,,,,2 or more races
1174,2016,Georgia,Percent of adults aged 18 years and older who have obesity,27.0,1187.0,,,,,"$75,000 or greater",
1178,2016,Kansas,Percent of adults aged 18 years and older who have obesity,31.2,10947.0,Total,,,,,
1180,2016,Florida,Percent of adults aged 18 years and older who have obesity,27.4,33186.0,Total,,,,,
1181,2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.0,1953.0,,,,Female,,
1190,2016,Nevada,Percent of adults aged 18 years and older who have obesity,25.7,1355.0,,65 or older,,,,
1192,2016,Minnesota,Percent of adults aged 18 years and older who have obesity,34.0,806.0,,,,,"Less than $15,000",
1194,2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,18.0,3629.0,,,College graduate,,,
1204,2016,Hawaii,Percent of adults aged 18 years and older who have obesity,24.9,2123.0,,,Some college or technical school,,,
1207,2015,New York,Percent of adults aged 18 years and older who have obesity,35.1,1048.0,,,,,"Less than $15,000",
1209,2016,Illinois,Percent of adults aged 18 years and older who have obesity,35.4,565.0,,35 - 44,,,,
1211,2016,Wyoming,Percent of adults aged 18 years and older who have obesity,27.1,3806.0,,,,,,Non-Hispanic White
1213,2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.9,411.0,,25 - 34,,,,
1219,2015,California,Percent of adults aged 18 years and older who have obesity,30.2,973.0,,,,,"$25,000 - $34,999",
1222,2016,North Dakota,Percent of adults aged 18 years and older who have obesity,32.5,1542.0,,,High school graduate,,,
1223,2013,Wyoming,Percent of adults aged 18 years and older who have obesity,32.4,242.0,,,,,,Hispanic
1224,2016,Colorado,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
1226,2016,Idaho,Percent of adults aged 18 years and older who have obesity,27.1,4376.0,,,,,,Non-Hispanic White
1227,2013,North Carolina,Percent of adults aged 18 years and older who have obesity,27.2,5662.0,,,,,,Non-Hispanic White
1231,2016,Indiana,Percent of adults aged 18 years and older who have obesity,39.4,1550.0,,45 - 54,,,,
1233,2016,Kentucky,Percent of adults aged 18 years and older who have obesity,30.2,98.0,,,,,,Hispanic
1239,2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,31.3,762.0,,45 - 54,,,,
1240,2011,Arizona,Percent of adults aged 18 years and older who have obesity,18.7,240.0,,18 - 24,,,,
1242,2014,North Dakota,Percent of adults aged 18 years and older who have obesity,34.3,849.0,,,,,"$15,000 - $24,999",
1245,2016,Idaho,Percent of adults aged 18 years and older who have obesity,22.6,1625.0,,,College graduate,,,
1247,2013,District of Columbia,Percent of adults aged 18 years and older who have obesity,13.5,2003.0,,,,,"$75,000 or greater",
1251,2016,Indiana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
1265,2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,22.2,1697.0,,,,,Data not reported,
1267,2016,South Dakota,Percent of adults aged 18 years and older who have obesity,34.8,521.0,,,,,"$25,000 - $34,999",
1268,2016,Connecticut,Percent of adults aged 18 years and older who have obesity,39.1,587.0,,,,,,Non-Hispanic Black
1272,2016,Delaware,Percent of adults aged 18 years and older who have obesity,30.7,3702.0,Total,,,,,
1276,2016,Arizona,Percent of adults aged 18 years and older who have obesity,11.9,115.0,,,,,,Asian
1277,2012,Arkansas,Percent of adults aged 18 years and older who have obesity,30.7,1235.0,,,College graduate,,,
1281,2016,Texas,Percent of adults aged 18 years and older who have obesity,30.7,1098.0,,25 - 34,,,,
1285,2016,Illinois,Percent of adults aged 18 years and older who have obesity,30.9,1492.0,,65 or older,,,,
1287,2016,Tennessee,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
1291,2016,Michigan,Percent of adults aged 18 years and older who have obesity,33.2,3445.0,,,Some college or technical school,,,
1292,2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,25.4,4117.0,,,,,,Non-Hispanic White
1295,2016,Michigan,Percent of adults aged 18 years and older who have obesity,38.7,920.0,,,,,"Less than $15,000",
1302,2016,Nevada,Percent of adults aged 18 years and older who have obesity,14.1,121.0,,,,,,Asian
1304,2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,29.9,2507.0,,,,Female,,
1314,2015,Rhode Island,Percent of adults aged 18 years and older who have obesity,29.3,59.0,,,,,,2 or more races
1320,2016,New Mexico,Percent of adults aged 18 years and older who have obesity,32.7,693.0,,,,,"Less than $15,000",
1322,2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,23.6,226.0,,,Less than high school,,,
1323,2016,Delaware,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
1326,2016,Texas,Percent of adults aged 18 years and older who have obesity,23.9,518.0,,18 - 24,,,,
1327,2016,Kansas,Percent of adults aged 18 years and older who have obesity,32.3,3037.0,,,High school graduate,,,
1330,2016,National,Percent of adults aged 18 years and older who have obesity,34.2,96566.0,,55 - 64,,,,
1331,2016,Florida,Percent of adults aged 18 years and older who have obesity,29.4,3299.0,,35 - 44,,,,
1334,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,34.1,628.0,,,Less than high school,,,
1341,2016,Iowa,Percent of adults aged 18 years and older who have obesity,37.9,1483.0,,55 - 64,,,,
1342,2016,Indiana,Percent of adults aged 18 years and older who have obesity,34.6,1455.0,,,,,"$50,000 - $74,999",
1344,2016,Virginia,Percent of adults aged 18 years and older who have obesity,25.1,2741.0,,,,,"$75,000 or greater",
1346,2015,Utah,Percent of adults aged 18 years and older who have obesity,28.5,802.0,,,,,"$25,000 - $34,999",
1347,2016,Vermont,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
1351,2016,Indiana,Percent of adults aged 18 years and older who have obesity,32.3,4423.0,,,,Male,,
1352,2012,Nevada,Percent of adults aged 18 years and older who have obesity,32.5,960.0,,55 - 64,,,,
1355,2016,Ohio,Percent of adults aged 18 years and older who have obesity,42.8,144.0,,,,,,2 or more races
1358,2016,Puerto Rico,Percent of adults aged 18 years and older who have obesity,30.1,617.0,,25 - 34,,,,
1359,2016,Missouri,Percent of adults aged 18 years and older who have obesity,32.0,2948.0,,,,Male,,
1360,2016,Arizona,Percent of adults aged 18 years and older who have obesity,36.4,1281.0,,45 - 54,,,,
1361,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,39.8,1068.0,,55 - 64,,,,
