,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
2211,2018,Illinois,Percent of adults aged 18 years and older who have obesity,35.7,1276.0,,,Some college or technical school,,,
2212,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,28.9,1491.0,,,,,"$75,000 or greater",
2214,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2215,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.4,9517.0,Total,,,,,
2216,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2217,2018,Alabama,Percent of adults aged 18 years and older who have obesity,36.6,1854.0,,,High school graduate,,,
2218,2018,Vermont,Percent of adults aged 18 years and older who have obesity,19.3,203.0,,18 - 24,,,,
2219,2018,Indiana,Percent of adults aged 18 years and older who have obesity,33.3,855.0,,,,,"$35,000 - $49,999",
2220,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,28.3,1913.0,,,High school graduate,,,
2221,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,26.8,3684.0,,,,Male,,
2222,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,40.8,378.0,,25 - 34,,,,
2224,2018,Guam,Percent of adults aged 18 years and older who have obesity,22.7,496.0,,,College graduate,,,
2225,2018,Georgia,Percent of adults aged 18 years and older who have obesity,32.7,914.0,,25 - 34,,,,
2226,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2227,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2228,2018,Oregon,Percent of adults aged 18 years and older who have obesity,30.8,2839.0,,,,Female,,
2229,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,34.5,1390.0,,,,,"$25,000 - $34,999",
2232,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,18 - 24,,,,
2234,2018,California,Percent of adults aged 18 years and older who have obesity,27.6,2719.0,,,Some college or technical school,,,
2235,2018,Iowa,Percent of adults aged 18 years and older who have obesity,45.7,140.0,,,,,,Non-Hispanic Black
2236,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2237,2018,Missouri,Percent of adults aged 18 years and older who have obesity,36.4,546.0,,,,,"$25,000 - $34,999",
2238,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,41.8,443.0,,,Less than high school,,,
2239,2018,Idaho,Percent of adults aged 18 years and older who have obesity,31.8,624.0,,55 - 64,,,,
2240,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,38.3,724.0,,,,,"$15,000 - $24,999",
2241,2018,Alabama,Percent of adults aged 18 years and older who have obesity,37.7,688.0,,,,,"$35,000 - $49,999",
2242,2018,Idaho,Percent of adults aged 18 years and older who have obesity,29.7,1766.0,,,,Male,,
2243,2018,National,Percent of adults aged 18 years and older who have obesity,39.1,6937.0,,,,,,American Indian/Alaska Native
2244,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,30.0,13700.0,,,,,,Non-Hispanic White
2245,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,37.8,930.0,,,,,"$75,000 or greater",
2246,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,25.2,1542.0,,65 or older,,,,
2247,2018,Florida,Percent of adults aged 18 years and older who have obesity,28.0,10321.0,,,,,,Non-Hispanic White
2248,2018,Maryland,Percent of adults aged 18 years and older who have obesity,31.7,4052.0,,,High school graduate,,,
2249,2018,Alaska,Percent of adults aged 18 years and older who have obesity,30.7,734.0,,,High school graduate,,,
2250,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,43.4,252.0,,,,,,Non-Hispanic Black
2251,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,31.2,2970.0,,,,Male,,
2252,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,35.1,513.0,,,,,"$35,000 - $49,999",
2253,2018,Maryland,Percent of adults aged 18 years and older who have obesity,35.6,3621.0,,,Some college or technical school,,,
2254,2018,Florida,Percent of adults aged 18 years and older who have obesity,27.5,2993.0,,,,,"$75,000 or greater",
2255,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,38.2,1422.0,,,High school graduate,,,
2256,2018,National,Percent of adults aged 18 years and older who have obesity,29.9,302781.0,,,,,,Non-Hispanic White
2257,2018,Oregon,Percent of adults aged 18 years and older who have obesity,14.9,402.0,,18 - 24,,,,
2258,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,35.8,703.0,,35 - 44,,,,
2259,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic White
2260,2018,Arizona,Percent of adults aged 18 years and older who have obesity,29.6,1070.0,,,,,"$50,000 - $74,999",
2261,2018,Idaho,Percent of adults aged 18 years and older who have obesity,26.5,909.0,,,,,"$75,000 or greater",
2262,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,15.6,1831.0,,,,,"$75,000 or greater",
2263,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,37.3,82.0,,,,,,2 or more races
2264,2018,Texas,Percent of adults aged 18 years and older who have obesity,38.1,1415.0,,,,,"$15,000 - $24,999",
2265,2018,Missouri,Percent of adults aged 18 years and older who have obesity,35.7,3205.0,,,,Female,,
2266,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.2,297.0,,,,,"Less than $15,000",
2267,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,30.2,453.0,,,,,,Hispanic
2269,2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.8,1197.0,,35 - 44,,,,
2270,2018,Colorado,Percent of adults aged 18 years and older who have obesity,28.4,892.0,,,,,"$15,000 - $24,999",
2271,2018,Montana,Percent of adults aged 18 years and older who have obesity,25.9,3910.0,,,,,,Non-Hispanic White
2272,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,29.4,535.0,,,,,"Less than $15,000",
2273,2018,Alabama,Percent of adults aged 18 years and older who have obesity,38.6,758.0,,,,,"$50,000 - $74,999",
2274,2018,Utah,Percent of adults aged 18 years and older who have obesity,26.8,4685.0,,,,Female,,
2275,2018,Illinois,Percent of adults aged 18 years and older who have obesity,28.9,61.0,,,,,,2 or more races
2276,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,38.4,629.0,,35 - 44,,,,
2277,2018,Kansas,Percent of adults aged 18 years and older who have obesity,38.1,150.0,,,,,,2 or more races
2278,2018,Delaware,Percent of adults aged 18 years and older who have obesity,32.4,3298.0,,,,,,Non-Hispanic White
2279,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.4,477.0,,25 - 34,,,,
2280,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,41.3,1074.0,,,,,"$15,000 - $24,999",
2282,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,24.7,325.0,,25 - 34,,,,
2283,2018,Michigan,Percent of adults aged 18 years and older who have obesity,28.0,1446.0,,,,,Data not reported,
2284,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,33.5,1684.0,,45 - 54,,,,
2285,2018,Florida,Percent of adults aged 18 years and older who have obesity,14.5,135.0,,,,,,Asian
2286,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,32.3,222.0,,,,,"$25,000 - $34,999",
2287,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,44.8,168.0,,,,,,American Indian/Alaska Native
2288,2018,Guam,Percent of adults aged 18 years and older who have obesity,29.8,1515.0,Total,,,,,
2289,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,39.5,857.0,,,Less than high school,,,
2290,2018,Vermont,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2291,2018,California,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2292,2018,Maine,Percent of adults aged 18 years and older who have obesity,27.2,4746.0,,65 or older,,,,
2293,2018,Florida,Percent of adults aged 18 years and older who have obesity,37.2,1230.0,,,Less than high school,,,
2294,2018,Kansas,Percent of adults aged 18 years and older who have obesity,39.8,1110.0,,35 - 44,,,,
2296,2018,Maine,Percent of adults aged 18 years and older who have obesity,30.2,1527.0,,,,,"$50,000 - $74,999",
2297,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,28.3,1704.0,,65 or older,,,,
2298,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,44.0,1099.0,,,,,"$15,000 - $24,999",
2299,2018,New York,Percent of adults aged 18 years and older who have obesity,32.4,557.0,,,,,,2 or more races
2301,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,25.8,1384.0,,,,Male,,
2302,2018,Indiana,Percent of adults aged 18 years and older who have obesity,33.6,5746.0,,,,,,Non-Hispanic White
2303,2018,Guam,Percent of adults aged 18 years and older who have obesity,23.5,183.0,,,,,"$25,000 - $34,999",
2304,2018,Colorado,Percent of adults aged 18 years and older who have obesity,29.2,1235.0,,45 - 54,,,,
2305,2018,Virginia,Percent of adults aged 18 years and older who have obesity,29.4,87.0,,,,,,American Indian/Alaska Native
2306,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,33.2,357.0,,,Less than high school,,,
2307,2018,Texas,Percent of adults aged 18 years and older who have obesity,33.5,4698.0,,,,Male,,
2310,2018,Iowa,Percent of adults aged 18 years and older who have obesity,38.0,2654.0,,,High school graduate,,,
2312,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,34.8,4855.0,Total,,,,,
2313,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2314,2018,Delaware,Percent of adults aged 18 years and older who have obesity,34.8,378.0,,,,,"$25,000 - $34,999",
2315,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,25.7,2222.0,,,College graduate,,,
2317,2018,Oregon,Percent of adults aged 18 years and older who have obesity,38.4,59.0,,,,,,Non-Hispanic Black
2318,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.7,4745.0,,,Some college or technical school,,,
2320,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,34.0,681.0,,,,,"$25,000 - $34,999",
2321,2018,Illinois,Percent of adults aged 18 years and older who have obesity,36.3,981.0,,55 - 64,,,,
2322,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,39.2,1561.0,,,,,"$15,000 - $24,999",
2323,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.9,1259.0,,55 - 64,,,,
2324,2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.8,341.0,,35 - 44,,,,
2325,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,35.7,436.0,,25 - 34,,,,
2326,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,16.1,444.0,,18 - 24,,,,
2327,2018,Montana,Percent of adults aged 18 years and older who have obesity,25.8,300.0,,,Less than high school,,,
2329,2018,Vermont,Percent of adults aged 18 years and older who have obesity,32.3,280.0,,,Less than high school,,,
2330,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,18.6,75.0,,,,,,2 or more races
2331,2018,Nevada,Percent of adults aged 18 years and older who have obesity,27.6,2019.0,,,,,,Non-Hispanic White
2332,2018,Nevada,Percent of adults aged 18 years and older who have obesity,27.9,865.0,,,,,"$75,000 or greater",
2335,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,34.2,228.0,,,,,"Less than $15,000",
2338,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,27.9,326.0,,18 - 24,,,,
2340,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.9,751.0,,,,,"$50,000 - $74,999",
2341,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.3,659.0,,,Less than high school,,,
2342,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,39.2,1012.0,,55 - 64,,,,
2343,2018,Washington,Percent of adults aged 18 years and older who have obesity,34.9,734.0,,,,,"Less than $15,000",
2345,2018,Montana,Percent of adults aged 18 years and older who have obesity,26.5,689.0,,,,,"$15,000 - $24,999",
2346,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,33.9,1422.0,,,High school graduate,,,
2348,2018,Colorado,Percent of adults aged 18 years and older who have obesity,23.7,1042.0,,35 - 44,,,,
2349,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2350,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,30.6,845.0,,,,,Data not reported,
2351,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,Less than high school,,,
2352,2018,Idaho,Percent of adults aged 18 years and older who have obesity,32.9,500.0,,,,,"$15,000 - $24,999",
2353,2018,Colorado,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2354,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,28.4,1575.0,,65 or older,,,,
2355,2018,California,Percent of adults aged 18 years and older who have obesity,27.2,1758.0,,35 - 44,,,,
2356,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,45 - 54,,,,
2358,2018,New York,Percent of adults aged 18 years and older who have obesity,25.2,3664.0,,25 - 34,,,,
2359,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,36.4,290.0,,,,,"$35,000 - $49,999",
2360,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2361,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,45.7,600.0,,45 - 54,,,,
2362,2018,National,Percent of adults aged 18 years and older who have obesity,33.0,109407.0,,,Some college or technical school,,,
2363,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.2,5102.0,,,,Female,,
2364,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,45.2,744.0,,,,,,Hawaiian/Pacific Islander
2366,2018,Maine,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2367,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2368,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hispanic
2369,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,30.4,951.0,,35 - 44,,,,
2370,2018,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2371,2018,Ohio,Percent of adults aged 18 years and older who have obesity,36.1,723.0,,,,,,Non-Hispanic Black
2372,2018,Alabama,Percent of adults aged 18 years and older who have obesity,31.8,2251.0,,65 or older,,,,
2373,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,41.9,615.0,,,,,,Non-Hispanic Black
2374,2018,National,Percent of adults aged 18 years and older who have obesity,34.2,27006.0,,,,,,Hispanic
2375,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,24.5,2409.0,,,,,"$75,000 or greater",
2376,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,36.6,619.0,,,,,"$25,000 - $34,999",
2377,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,30.1,169.0,,,,,,Hispanic
2378,2018,Indiana,Percent of adults aged 18 years and older who have obesity,35.5,478.0,,,,,"Less than $15,000",
2379,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,36.5,529.0,,,,,"Less than $15,000",
2380,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,42.4,1781.0,,55 - 64,,,,
2382,2018,Florida,Percent of adults aged 18 years and older who have obesity,30.7,13804.0,Total,,,,,
2383,2018,Montana,Percent of adults aged 18 years and older who have obesity,27.3,468.0,,,,,"$25,000 - $34,999",
2384,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2386,2018,Vermont,Percent of adults aged 18 years and older who have obesity,31.8,556.0,,,,,"$25,000 - $34,999",
2387,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,29.3,143.0,,,,,,Hispanic
2388,2018,Alaska,Percent of adults aged 18 years and older who have obesity,25.1,362.0,,,,,"$50,000 - $74,999",
2389,2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.9,1526.0,,35 - 44,,,,
2391,2018,Indiana,Percent of adults aged 18 years and older who have obesity,34.6,542.0,,,Less than high school,,,
2392,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2393,2018,Alabama,Percent of adults aged 18 years and older who have obesity,43.9,1569.0,,,,,,Non-Hispanic Black
2394,2018,Oregon,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2395,2018,Kansas,Percent of adults aged 18 years and older who have obesity,28.9,3861.0,,,College graduate,,,
2396,2018,Texas,Percent of adults aged 18 years and older who have obesity,38.6,1472.0,,45 - 54,,,,
2397,2018,Virginia,Percent of adults aged 18 years and older who have obesity,34.1,650.0,,,Less than high school,,,
2398,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,30.3,978.0,,35 - 44,,,,
2399,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,29.9,963.0,,,,,"$15,000 - $24,999",
2400,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2401,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,32.4,5135.0,,65 or older,,,,
2402,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,36.0,2611.0,,,,Male,,
2403,2018,Oregon,Percent of adults aged 18 years and older who have obesity,29.9,5471.0,Total,,,,,
2404,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,24.7,1858.0,,,,,Data not reported,
2405,2018,Florida,Percent of adults aged 18 years and older who have obesity,25.9,4221.0,,,College graduate,,,
2406,2018,Missouri,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2407,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,31.0,2241.0,,,,Male,,
2409,2018,National,Percent of adults aged 18 years and older who have obesity,26.7,57927.0,,,,,Data not reported,
2410,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,34.3,814.0,,,,,,Hispanic
2412,2018,Michigan,Percent of adults aged 18 years and older who have obesity,33.5,801.0,,,,,"$25,000 - $34,999",
2413,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,35.3,1251.0,,,Some college or technical school,,,
2415,2018,Washington,Percent of adults aged 18 years and older who have obesity,28.7,11864.0,Total,,,,,
2416,2018,Oregon,Percent of adults aged 18 years and older who have obesity,33.5,645.0,,,,,"$35,000 - $49,999",
2417,2018,Iowa,Percent of adults aged 18 years and older who have obesity,34.6,908.0,,25 - 34,,,,
2418,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,37.8,433.0,,,Less than high school,,,
2419,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,20.3,857.0,,18 - 24,,,,
2420,2018,Illinois,Percent of adults aged 18 years and older who have obesity,27.4,657.0,,25 - 34,,,,
2422,2018,Florida,Percent of adults aged 18 years and older who have obesity,34.1,82.0,,,,,,Other
2423,2018,Georgia,Percent of adults aged 18 years and older who have obesity,36.5,1661.0,,55 - 64,,,,
2424,2018,Virginia,Percent of adults aged 18 years and older who have obesity,15.9,529.0,,18 - 24,,,,
2425,2018,Maine,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2426,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,43.6,1344.0,,45 - 54,,,,
2427,2018,Virginia,Percent of adults aged 18 years and older who have obesity,29.2,3234.0,,65 or older,,,,
2429,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.2,377.0,,,,,,Hispanic
2430,2018,Guam,Percent of adults aged 18 years and older who have obesity,27.6,317.0,,55 - 64,,,,
2432,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,27.8,669.0,,,Some college or technical school,,,
2433,2018,California,Percent of adults aged 18 years and older who have obesity,27.6,2096.0,,,High school graduate,,,
2434,2018,Texas,Percent of adults aged 18 years and older who have obesity,36.1,2787.0,,,Some college or technical school,,,
2435,2018,Utah,Percent of adults aged 18 years and older who have obesity,40.6,124.0,,,,,,American Indian/Alaska Native
2436,2018,New York,Percent of adults aged 18 years and older who have obesity,27.6,32076.0,Total,,,,,
2437,2018,Illinois,Percent of adults aged 18 years and older who have obesity,31.2,428.0,,,,,"$25,000 - $34,999",
2438,2018,Delaware,Percent of adults aged 18 years and older who have obesity,30.0,706.0,,,,,Data not reported,
2440,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,"$25,000 - $34,999",
